,year,week,total_score,temperature,home_team,home_score,away_team,away_score,wind,wind_dir
448,2015,7,61,70,Washington,31,Buccaneers,30,8,NW
449,2015,8,43,70,Falcons,20,Buccaneers,23,2,NNE
450,2015,9,37,54,Patriots,27,Washington,10,8,W
451,2015,10,16,77,Buccaneers,10,Cowboys,6,9,E
452,2015,11,45,70,Falcons,21,Colts,24,8,NW
453,2015,12,30,35,Packers,13,Bears,17,1,N
454,2015,13,30,70,Rams,3,Cardinals,27,4,SW
455,2015,14,34,62,Browns,24,49ers,10,8,SSE
456,2015,15,55,36,Vikings,38,Bears,17,3,SSW
457,2015,16,46,56,Jets,26,Patriots,20,7,SW
458,2015,17,37,70,Falcons,17,Saints,20,8,WNW
459,2014,1,43,77,Bears,20,Bills,23,,ESE
460,2014,2,34,68,Bengals,24,Falcons,10,,N
461,2014,3,40,79,Bengals,33,Titans,7,,W
462,2014,4,58,70,Colts,41,Titans,17,,N
463,2014,5,31,70,Lions,14,Bills,17,,SW
464,2014,6,74,62,Bengals,37,Panthers,37,6,S
465,2014,7,41,55,Bears,14,Dolphins,27,,SW
466,2014,9,39,0,Browns,22,Buccaneers,17,,W
467,2014,10,36,70,Lions,20,Dolphins,16,,SW
468,2014,11,30,34,Browns,7,Texans,23,,SSW
469,2014,12,34,53,Bears,21,Buccaneers,13,,S
470,2014,13,22,58,49ers,3,Seahawks,19,,N
471,2014,14,49,38,Browns,24,Colts,25,11,NE
472,2014,15,34,34,Bills,21,Packers,13,9,W
473,2014,16,73,58,49ers,35,Chargers,38,1,SW
474,2014,17,61,80,Dolphins,24,Jets,37,7,SE
475,2013,1,45,77,Bears,24,Bengals,21,,NE
476,2013,2,47,66,Bills,24,Panthers,23,,SW
477,2013,3,38,79,Cowboys,31,Rams,7,,ENE
478,2013,4,23,0,Browns,17,Bengals,6,,S
479,2013,5,19,74,Bengals,13,Patriots,6,,S
